Ilan_ID,Ilan_Tarihi,Marka,Model,Yil,KM,Vites,Yakit,Renk,Sehir,Fiyat_TL,Aciklama
101120,2026-05-06,Mercedes-Benz,E Serisi,2025,24071,Yarı Otomatik,Benzin,Mavi,Antalya,1913893,Sahibinden temiz 2025 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
101121,2026-05-13,Toyota,Aurais,2021,60244,Manuel,Elektrik,Füme,Gaziantep,1209634,Sahibinden temiz 2021 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
101122,2026-04-26,Fiat,Punto,2016,182028,Yarı Otomatik,Dizel,Metalik Gri,İzmir,426958,Sahibinden temiz 2016 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
101123,2026-05-12,Volkswagen,Passat,2019,96654,Manuel,Dizel,Mavi,Gaziantep,1055019,Sahibinden temiz 2019 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
101124,2026-04-26,Mercedes-Benz,A Serisi,2014,150383,Otomatik,LPG & Benzin,Mavi,İstanbul,1174425,Sahibinden temiz 2014 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101125,2026-05-07,Fiat,Egea,2013,205866,Otomatik,Hibrit,Füme,Ankara,250000,Sahibinden temiz 2013 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
101126,2026-04-18,Mercedes-Benz,E Serisi,2010,249622,Yarı Otomatik,Hibrit,Gri (Gümüş),İstanbul,825567,Sahibinden temiz 2010 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
101127,2026-05-13,Fiat,Punto,2019,104764,Yarı Otomatik,Hibrit,Kırmızı,İstanbul,692854,Sahibinden temiz 2019 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
101128,2026-05-10,Fiat,Egea,2011,225040,Yarı Otomatik,Hibrit,Metalik Gri,Ankara,250000,Sahibinden temiz 2011 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
101129,2026-05-11,Volkswagen,Tiguan,2021,74858,Otomatik,Hibrit,Metalik Gri,Gaziantep,1187713,Sahibinden temiz 2021 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
101130,2026-04-23,Hyundai,i30,2014,129316,Manuel,Benzin,Siyah,İstanbul,406026,Sahibinden temiz 2014 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
101131,2026-04-26,Renault,Clio,2010,195357,Manuel,Hibrit,Beyaz,Gaziantep,250000,Sahibinden temiz 2010 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
101132,2026-05-13,Hyundai,i30,2022,61820,Otomatik,Dizel,Metalik Gri,İzmir,907270,Sahibinden temiz 2022 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
101133,2026-05-11,Fiat,Egea,2011,157868,Yarı Otomatik,Benzin,Mavi,İstanbul,250000,Sahibinden temiz 2011 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
101134,2026-05-15,Mercedes-Benz,C Serisi,2024,29993,Yarı Otomatik,Dizel,Gri (Gümüş),Adana,1855010,Sahibinden temiz 2024 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
101135,2026-05-15,Mercedes-Benz,E Serisi,2010,247937,Yarı Otomatik,Hibrit,Gri (Gümüş),Kocaeli,828094,Sahibinden temiz 2010 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
101136,2026-05-06,Mercedes-Benz,C Serisi,2011,272057,Otomatik,Dizel,Füme,Ankara,841914,Sahibinden temiz 2011 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
101137,2026-04-27,Mercedes-Benz,A Serisi,2020,101681,Manuel,Benzin,Kırmızı,İzmir,1547478,Sahibinden temiz 2020 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101138,2026-04-30,Renault,Symbol,2019,127828,Manuel,LPG & Benzin,Mavi,Gaziantep,658258,Sahibinden temiz 2019 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
101139,2026-04-25,BMW,5 Serisi,2015,139773,Manuel,Elektrik,Mavi,İstanbul,1240340,Sahibinden temiz 2015 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101140,2026-04-29,Toyota,Corolla,2016,166099,Manuel,Elektrik,Füme,Kocaeli,800851,Sahibinden temiz 2016 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
101141,2026-04-20,Mercedes-Benz,C Serisi,2015,156245,Otomatik,Dizel,Mavi,İzmir,1215632,Sahibinden temiz 2015 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
101142,2026-05-06,Renault,Fluence,2015,141839,Manuel,LPG & Benzin,Kırmızı,Bursa,437241,Sahibinden temiz 2015 model Renault Fluence. Tüm bakımları zamanında yapılmıştır.
101143,2026-05-12,Renault,Symbol,2020,109057,Otomatik,Benzin,Gri (Gümüş),İstanbul,736414,Sahibinden temiz 2020 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
101144,2026-04-30,Volkswagen,Polo,2017,150401,Otomatik,Elektrik,Gri (Gümüş),Kocaeli,874398,Sahibinden temiz 2017 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
101145,2026-04-21,BMW,5 Serisi,2012,171993,Yarı Otomatik,Hibrit,Siyah,Gaziantep,1042010,Sahibinden temiz 2012 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101146,2026-05-05,Fiat,Punto,2025,30481,Yarı Otomatik,Benzin,Füme,Kocaeli,1104278,Sahibinden temiz 2025 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
101147,2026-05-06,Mercedes-Benz,A Serisi,2012,176660,Yarı Otomatik,Elektrik,Füme,Kocaeli,1035010,Sahibinden temiz 2012 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101148,2026-05-05,BMW,3 Serisi,2015,221769,Manuel,Elektrik,Gri (Gümüş),Ankara,1117346,Sahibinden temiz 2015 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101149,2026-05-04,Hyundai,Tucson,2021,89775,Manuel,Elektrik,Gri (Gümüş),Ankara,815337,Sahibinden temiz 2021 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
101150,2026-05-01,Renault,Fluence,2019,109263,Manuel,LPG & Benzin,Mavi,İstanbul,686105,Sahibinden temiz 2019 model Renault Fluence. Tüm bakımları zamanında yapılmıştır.
101151,2026-04-21,BMW,3 Serisi,2022,33676,Otomatik,Hibrit,Gri (Gümüş),Antalya,1749486,Sahibinden temiz 2022 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101152,2026-05-03,Fiat,Lineia,2025,29216,Manuel,Benzin,Gri (Gümüş),Gaziantep,1106176,Sahibinden temiz 2025 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
101153,2026-05-02,BMW,1 Serisi,2016,117162,Manuel,Elektrik,Gri (Gümüş),Antalya,1324257,Sahibinden temiz 2016 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
101154,2026-04-28,BMW,1 Serisi,2023,68381,Yarı Otomatik,Hibrit,Beyaz,Kocaeli,1747428,Sahibinden temiz 2023 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
101155,2026-04-26,Hyundai,Tucson,2010,177731,Manuel,Dizel,Mavi,Adana,250000,Sahibinden temiz 2010 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
101156,2026-04-17,Hyundai,i20,2013,194300,Manuel,Dizel,Mavi,İstanbul,258550,Sahibinden temiz 2013 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
101157,2026-05-13,Hyundai,i20,2017,98914,Otomatik,Elektrik,Füme,Adana,601629,Sahibinden temiz 2017 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
101158,2026-05-10,Mercedes-Benz,E Serisi,2018,81460,Manuel,LPG & Benzin,Kırmızı,Antalya,1477810,Sahibinden temiz 2018 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
101159,2026-05-11,Hyundai,i30,2018,158391,Yarı Otomatik,Dizel,Kırmızı,Antalya,562413,Sahibinden temiz 2018 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
101160,2026-05-12,BMW,5 Serisi,2016,117155,Manuel,Elektrik,Siyah,Ankara,1324267,Sahibinden temiz 2016 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101161,2026-05-11,Fiat,Lineia,2021,88042,Manuel,Benzin,Beyaz,Bursa,817937,Sahibinden temiz 2021 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
101162,2026-05-05,Volkswagen,Passat,2018,92601,Yarı Otomatik,Hibrit,Siyah,Kocaeli,1011098,Sahibinden temiz 2018 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
101163,2026-05-06,Mercedes-Benz,E Serisi,2024,46615,Yarı Otomatik,Hibrit,Metalik Gri,Kocaeli,1830077,Sahibinden temiz 2024 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
101164,2026-05-10,Toyota,Yaris,2015,108929,Manuel,LPG & Benzin,Füme,Antalya,836606,Sahibinden temiz 2015 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
101165,2026-04-25,BMW,1 Serisi,2021,60948,Yarı Otomatik,Benzin,Metalik Gri,Antalya,1658578,Sahibinden temiz 2021 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
101166,2026-04-17,Renault,Megane,2021,60414,Manuel,Dizel,Siyah,Ankara,859379,Sahibinden temiz 2021 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
101167,2026-04-30,Hyundai,i30,2015,162678,Yarı Otomatik,Hibrit,Füme,Gaziantep,405983,Sahibinden temiz 2015 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
101168,2026-04-28,BMW,5 Serisi,2013,233418,Otomatik,Dizel,Mavi,Antalya,999873,Sahibinden temiz 2013 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101169,2026-04-24,Volkswagen,Passat,2020,111459,Otomatik,Hibrit,Kırmızı,Adana,1082811,Sahibinden temiz 2020 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
101170,2026-04-29,Fiat,Fiorino,2024,27838,Yarı Otomatik,Elektrik,Gri (Gümüş),Gaziantep,1058243,Sahibinden temiz 2024 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
101171,2026-04-28,Toyota,Yaris,2024,28563,Otomatik,Hibrit,Siyah,İstanbul,1407155,Sahibinden temiz 2024 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
101172,2026-04-21,Toyota,Corolla,2013,229447,Otomatik,LPG & Benzin,Metalik Gri,Bursa,555829,Sahibinden temiz 2013 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
101173,2026-04-16,Hyundai,Tucson,2021,100778,Yarı Otomatik,Hibrit,Beyaz,İzmir,798833,Sahibinden temiz 2021 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
101174,2026-05-10,Renault,Fluence,2025,18421,Otomatik,Elektrik,Gri (Gümüş),Bursa,1122368,Sahibinden temiz 2025 model Renault Fluence. Tüm bakımları zamanında yapılmıştır.
101175,2026-05-05,Toyota,Yaris,2021,108570,Yarı Otomatik,Benzin,Metalik Gri,İstanbul,1137145,Sahibinden temiz 2021 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
101176,2026-04-16,Toyota,Yaris,2024,30192,Otomatik,LPG & Benzin,Füme,Adana,1404712,Sahibinden temiz 2024 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
101177,2026-04-29,Mercedes-Benz,A Serisi,2023,41562,Otomatik,Elektrik,Siyah,Antalya,1787657,Sahibinden temiz 2023 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101178,2026-04-21,Fiat,Punto,2016,142334,Manuel,Hibrit,Gri (Gümüş),İzmir,486499,Sahibinden temiz 2016 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
101179,2026-04-26,Hyundai,Accent Blue,2014,189598,Manuel,LPG & Benzin,Siyah,Kocaeli,315603,Sahibinden temiz 2014 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
101180,2026-05-05,Mercedes-Benz,E Serisi,2019,139009,Otomatik,Dizel,Füme,İzmir,1441486,Sahibinden temiz 2019 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
101181,2026-05-12,Renault,Symbol,2015,165360,Yarı Otomatik,Benzin,Mavi,Kocaeli,401960,Sahibinden temiz 2015 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
101182,2026-05-01,Hyundai,Tucson,2014,130829,Manuel,Benzin,Füme,Bursa,403756,Sahibinden temiz 2014 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
101183,2026-04-29,Volkswagen,Polo,2010,233596,Manuel,Benzin,Mavi,Ankara,399606,Sahibinden temiz 2010 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
101184,2026-05-11,Hyundai,i20,2019,69230,Yarı Otomatik,Elektrik,Siyah,İzmir,746155,Sahibinden temiz 2019 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
101185,2026-05-10,Volkswagen,Polo,2010,315004,Manuel,LPG & Benzin,Mavi,Antalya,277494,Sahibinden temiz 2010 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
101186,2026-04-28,Renault,Clio,2017,117984,Manuel,Elektrik,Füme,İzmir,573024,Sahibinden temiz 2017 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
101187,2026-04-16,Fiat,Punto,2020,118062,Yarı Otomatik,Hibrit,Mavi,Adana,722907,Sahibinden temiz 2020 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
101188,2026-05-10,Volkswagen,Passat,2024,38123,Yarı Otomatik,Benzin,Mavi,Ankara,1392815,Sahibinden temiz 2024 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
101189,2026-04-22,Volkswagen,Tiguan,2016,126334,Yarı Otomatik,Benzin,Füme,İzmir,860499,Sahibinden temiz 2016 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
101190,2026-05-13,Toyota,Yaris,2016,214660,Yarı Otomatik,Benzin,Mavi,İstanbul,728010,Sahibinden temiz 2016 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
101191,2026-05-10,Fiat,Punto,2024,45710,Manuel,LPG & Benzin,Füme,Bursa,1031435,Sahibinden temiz 2024 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
101192,2026-05-03,BMW,3 Serisi,2020,99189,Yarı Otomatik,Elektrik,Mavi,İzmir,1551216,Sahibinden temiz 2020 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101193,2026-05-10,BMW,1 Serisi,2024,22783,Otomatik,LPG & Benzin,Kırmızı,İstanbul,1865825,Sahibinden temiz 2024 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
101194,2026-04-25,Hyundai,i20,2021,67994,Otomatik,Dizel,Kırmızı,İstanbul,848009,Sahibinden temiz 2021 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
101195,2026-05-01,Hyundai,Tucson,2020,92386,Otomatik,Elektrik,Füme,İstanbul,761421,Sahibinden temiz 2020 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
101196,2026-05-07,Fiat,Fiorino,2017,139578,Otomatik,Benzin,Beyaz,İzmir,540633,Sahibinden temiz 2017 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
101197,2026-04-19,Fiat,Egea,2015,200456,Yarı Otomatik,Hibrit,Kırmızı,İzmir,349316,Sahibinden temiz 2015 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
101198,2026-05-08,Volkswagen,Golf,2011,264150,Otomatik,Hibrit,Füme,Kocaeli,403775,Sahibinden temiz 2011 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
101199,2026-04-30,Toyota,Aurais,2018,129969,Otomatik,LPG & Benzin,Beyaz,Antalya,955046,Sahibinden temiz 2018 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
101200,2026-05-05,BMW,1 Serisi,2016,165155,Manuel,Elektrik,Kırmızı,İzmir,1252267,Sahibinden temiz 2016 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
101201,2026-05-15,BMW,3 Serisi,2014,207696,Manuel,LPG & Benzin,Metalik Gri,Kocaeli,1088456,Sahibinden temiz 2014 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101202,2026-05-13,BMW,3 Serisi,2022,50839,Otomatik,Elektrik,Gri (Gümüş),Gaziantep,1723741,Sahibinden temiz 2022 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101203,2026-05-14,Hyundai,i20,2023,34084,Manuel,Dizel,Kırmızı,Adana,998874,Sahibinden temiz 2023 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
101204,2026-05-08,Volkswagen,Tiguan,2021,73776,Otomatik,Dizel,Beyaz,İstanbul,1189336,Sahibinden temiz 2021 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
101205,2026-04-25,Toyota,Aurais,2013,175022,Otomatik,LPG & Benzin,Füme,Bursa,637467,Sahibinden temiz 2013 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
101206,2026-05-02,Renault,Clio,2022,70594,Manuel,Elektrik,Gri (Gümüş),Bursa,894109,Sahibinden temiz 2022 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
101207,2026-04-19,Mercedes-Benz,A Serisi,2011,202342,Manuel,Dizel,Gri (Gümüş),Ankara,946487,Sahibinden temiz 2011 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101208,2026-04-28,Toyota,Aurais,2016,186307,Manuel,Elektrik,Mavi,Adana,770539,Sahibinden temiz 2016 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
101209,2026-05-07,Volkswagen,Golf,2017,171860,Manuel,Hibrit,Mavi,Ankara,842210,Sahibinden temiz 2017 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
101210,2026-04-23,Fiat,Egea,2015,161068,Yarı Otomatik,Benzin,Gri (Gümüş),Adana,408398,Sahibinden temiz 2015 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
101211,2026-05-03,Hyundai,i20,2013,209119,Manuel,LPG & Benzin,Siyah,Ankara,250000,Sahibinden temiz 2013 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
101212,2026-04-22,Hyundai,i30,2021,46411,Otomatik,LPG & Benzin,Kırmızı,Bursa,880383,Sahibinden temiz 2021 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
101213,2026-05-07,Fiat,Egea,2021,73919,Otomatik,Benzin,Mavi,Kocaeli,839121,Sahibinden temiz 2021 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
101214,2026-05-06,BMW,5 Serisi,2011,201196,Yarı Otomatik,Benzin,Metalik Gri,Ankara,948206,Sahibinden temiz 2011 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101215,2026-05-04,BMW,3 Serisi,2017,118733,Yarı Otomatik,Benzin,Füme,Gaziantep,1371900,Sahibinden temiz 2017 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101216,2026-05-05,Hyundai,Accent Blue,2025,34205,Otomatik,Benzin,Metalik Gri,Antalya,1098692,Sahibinden temiz 2025 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
101217,2026-04-26,Hyundai,i30,2014,176776,Otomatik,Hibrit,Füme,Gaziantep,334836,Sahibinden temiz 2014 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
101218,2026-05-01,BMW,1 Serisi,2012,252664,Yarı Otomatik,LPG & Benzin,Gri (Gümüş),Antalya,921004,Sahibinden temiz 2012 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
101219,2026-05-07,Fiat,Lineia,2015,141455,Yarı Otomatik,Hibrit,Siyah,Kocaeli,437817,Sahibinden temiz 2015 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
101220,2026-04-30,Toyota,Corolla,2011,297691,Manuel,Dizel,Füme,İzmir,353463,Sahibinden temiz 2011 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
101221,2026-04-29,Volkswagen,Passat,2012,217675,Otomatik,Elektrik,Gri (Gümüş),İstanbul,523487,Sahibinden temiz 2012 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
101222,2026-05-08,Toyota,Corolla,2017,195621,Manuel,Elektrik,Kırmızı,Bursa,806568,Sahibinden temiz 2017 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
101223,2026-04-22,Mercedes-Benz,A Serisi,2024,32096,Manuel,Dizel,Mavi,Kocaeli,1851856,Sahibinden temiz 2024 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101224,2026-05-01,Mercedes-Benz,A Serisi,2025,22633,Otomatik,Elektrik,Kırmızı,Antalya,1916050,Sahibinden temiz 2025 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101225,2026-05-03,BMW,3 Serisi,2018,127731,Manuel,Elektrik,Kırmızı,Bursa,1408403,Sahibinden temiz 2018 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101226,2026-04-17,Renault,Symbol,2011,170557,Yarı Otomatik,Benzin,Mavi,Gaziantep,250000,Sahibinden temiz 2011 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
101227,2026-04-30,Volkswagen,Golf,2010,201517,Yarı Otomatik,Hibrit,Siyah,İzmir,447724,Sahibinden temiz 2010 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
101228,2026-05-11,Toyota,Yaris,2012,188233,Yarı Otomatik,Benzin,Füme,Ankara,567650,Sahibinden temiz 2012 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
101229,2026-04-18,Hyundai,Tucson,2018,127697,Otomatik,Dizel,Metalik Gri,Antalya,608454,Sahibinden temiz 2018 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
101230,2026-05-08,Renault,Clio,2024,32531,Manuel,Hibrit,Mavi,Ankara,1051203,Sahibinden temiz 2024 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
101231,2026-05-08,Volkswagen,Passat,2012,212735,Otomatik,Hibrit,Gri (Gümüş),Adana,530897,Sahibinden temiz 2012 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
101232,2026-04-26,Hyundai,Accent Blue,2015,176393,Otomatik,Dizel,Mavi,Kocaeli,385410,Sahibinden temiz 2015 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
101233,2026-05-13,BMW,5 Serisi,2020,57897,Otomatik,LPG & Benzin,Füme,Gaziantep,1613154,Sahibinden temiz 2020 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101234,2026-05-12,Hyundai,Accent Blue,2019,103328,Otomatik,Elektrik,Füme,Antalya,695008,Sahibinden temiz 2019 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
101235,2026-05-11,Renault,Symbol,2014,176012,Yarı Otomatik,Benzin,Beyaz,İstanbul,335982,Sahibinden temiz 2014 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
101236,2026-04-28,Volkswagen,Polo,2011,199218,Otomatik,Elektrik,Mavi,Antalya,501173,Sahibinden temiz 2011 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
101237,2026-05-05,BMW,5 Serisi,2012,203409,Manuel,Benzin,Metalik Gri,Adana,994886,Sahibinden temiz 2012 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101238,2026-04-21,Toyota,Corolla,2019,141565,Manuel,Hibrit,Mavi,Antalya,987652,Sahibinden temiz 2019 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
101239,2026-05-05,Mercedes-Benz,A Serisi,2023,60271,Manuel,Benzin,Beyaz,Bursa,1759593,Sahibinden temiz 2023 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
101240,2026-05-04,Volkswagen,Golf,2024,29452,Yarı Otomatik,Elektrik,Beyaz,Antalya,1405822,Sahibinden temiz 2024 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
101241,2026-05-01,BMW,5 Serisi,2023,69721,Manuel,Benzin,Kırmızı,Kocaeli,1745418,Sahibinden temiz 2023 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101242,2026-04-16,Hyundai,Tucson,2022,50016,Yarı Otomatik,Elektrik,Füme,Ankara,924976,Sahibinden temiz 2022 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
101243,2026-04-17,Toyota,Corolla,2013,215566,Manuel,Benzin,Kırmızı,Ankara,576651,Sahibinden temiz 2013 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
101244,2026-05-05,Mercedes-Benz,E Serisi,2024,33635,Yarı Otomatik,Dizel,Mavi,Kocaeli,1849547,Sahibinden temiz 2024 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
101245,2026-05-12,BMW,5 Serisi,2011,151022,Otomatik,LPG & Benzin,Beyaz,Gaziantep,1023467,Sahibinden temiz 2011 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
101246,2026-04-29,Fiat,Fiorino,2013,259018,Otomatik,LPG & Benzin,Gri (Gümüş),Gaziantep,250000,Sahibinden temiz 2013 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
101247,2026-04-20,Hyundai,Accent Blue,2022,97427,Manuel,Hibrit,Füme,Adana,853859,Sahibinden temiz 2022 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
101248,2026-04-26,Fiat,Fiorino,2011,169399,Manuel,Dizel,Beyaz,İstanbul,250000,Sahibinden temiz 2011 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
101249,2026-05-02,Volkswagen,Tiguan,2017,156688,Manuel,Dizel,Füme,Kocaeli,864968,Sahibinden temiz 2017 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
101250,2026-05-15,Renault,Fluence,2017,101369,Yarı Otomatik,LPG & Benzin,Füme,Ankara,597946,Sahibinden temiz 2017 model Renault Fluence. Tüm bakımları zamanında yapılmıştır.
101251,2026-05-08,Fiat,Egea,2018,109039,Manuel,Hibrit,Gri (Gümüş),Bursa,636441,Sahibinden temiz 2018 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
101252,2026-05-03,BMW,3 Serisi,2021,88226,Yarı Otomatik,Benzin,Beyaz,Ankara,1617661,Sahibinden temiz 2021 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
101253,2026-05-05,Renault,Symbol,2018,138081,Manuel,Hibrit,Füme,Bursa,592878,Sahibinden temiz 2018 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
101254,2026-04-16,Renault,Symbol,2017,158973,Otomatik,LPG & Benzin,Beyaz,İzmir,511540,Sahibinden temiz 2017 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
101255,2026-05-12,Hyundai,i30,2012,177189,Otomatik,Hibrit,Mavi,Kocaeli,250000,Sahibinden temiz 2012 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
101256,2026-04-21,Renault,Megane,2019,141748,Yarı Otomatik,Elektrik,Siyah,Adana,637378,Sahibinden temiz 2019 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
101257,2026-05-09,BMW,3 Serisi,2021,93338,Yarı Otomatik,Dizel,Gri (Gümüş),İzmir,1609993,Sahibinden temiz 2021 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
